Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
PCB,It holds everything together,1,3.5,,JLCPCB
JGNE 26650 3600mah - 10.2A LIFEPO4 – 3.2V,Non stop power,2,7.66,https://www.nkon.nl/en/jgne-26650-3600mah-10-2a-lifepo4.html,nkon
FVE pannel 12V/10W,Harvesting the power of the sun,,17,https://www.hadex.cz/p/g949-fotovoltaicky-solarni-panel-12v-10w-polykrystalicky-370x250x17mm,Hadex
XL63070 5V,Buck/Boost for main rail,1,5.48,https://www.aliexpress.com/item/1005004622491894.html,Aliexpress
SD30CRMA 12V,MPPT Charger,1,4.86,https://www.aliexpress.com/item/1005005904054565.html,Aliexpress
NRF52840,Brain of the operation,1,5.05,https://www.aliexpress.com/item/1005008715067918.html,Aliexpress
DS3231,RTC for repeater time,1,2.98,https://www.aliexpress.com/item/1005007143542894.html,Aliexpress
